cidade,nome_do_bar,endereco,imagem_prato,pagina_url,lat,lng
Belo Horizonte,222,"R. Francisco Deslandes, 222 |Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110856/222_buraquimquente_bh_2026_pauloti_unibh-4859.jpg,https://comidadibuteco.com.br/buteco/3100-revision-v1/,-19.9456664,-43.9297315
Belo Horizonte,Alexandre’s Bar,"R. David Alves do Vale, 68  | Santa Rosa, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110859/alexandresbar_porcoamostarda_pauloti_unibh-3271.jpg,https://comidadibuteco.com.br/buteco/alexandres-bar/,-19.8618937,-43.9443309
Belo Horizonte,Andrade’s Beer,"R. Dona Geni, 32 | Maria Helena, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110901/andradesbeer_ossadinhaatolada_bh_2026_rodneycosta_unibh-4615.jpg,https://comidadibuteco.com.br/buteco/andrades-beer/,-19.800632,-43.9965283
Belo Horizonte,Armazém Santa Amélia,"Rua da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09110903/armazemsantaamelia_chucretedemineiro_bh_2026_rodneycosta_unibh-3650.jpg,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,-19.8327892,-43.9732667
Belo Horizonte,Avalanche Bar e Restaurante,"R. Doutor Álvaro Camargos, 1113 | São Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111005/avalancheespeteria_nopeitonaraiz_bh_2026_pauloti_unibh-4514.jpg,https://comidadibuteco.com.br/buteco/avalanche-bar-e-restaurante/,-19.825228,-43.9605053
Belo Horizonte,Azougue Fogo e Bar,"Rua do Ouro, 835  | Serra, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111007/azouquefogobar_oncoto_bh_2026_rodneycosta_unibh-4638.jpg,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,-19.9383697,-43.920189199999996
Belo Horizonte,Baiúca,"R. Piauí, 1884 | Funcionários, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111008/baiuca_pastelpeganoporo_bh_2026_pauloti_unibh-4013.jpg,https://comidadibuteco.com.br/buteco/baiuca/,-19.9379851,-43.9287422
Belo Horizonte,Bar Bambú,"R. Divisa Nova, 670 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111012/barbambu_tocomnagunamao_bh_2026_isaquerodrigues_unibh-3461.jpg,https://comidadibuteco.com.br/buteco/barbambu/,-19.9454547,-43.9819144
Belo Horizonte,Bar Bendita Baderna,"R. Silva Fortes, 47  | União, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111113/barbenditabaderna_benditaporpeta_bh_2026_pauloti_unibh-5051.jpg,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,-19.879383699999998,-43.9278428
Belo Horizonte,Bar da Cintia,"R. Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111115/bardacintia_chuletadescontraida_bh_2026_pauloti_unibh-5257.jpg,https://comidadibuteco.com.br/buteco/bar-da-cintia/,-19.8167264,-43.9695414
Belo Horizonte,Bar da Fia,"R. dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111117/bardafia_lomboquentecoracaomole_vicentealexandre_unibh-3148.jpg,https://comidadibuteco.com.br/buteco/bar-da-fia/,-19.827917799999998,-43.98005630000001
Belo Horizonte,Bar da Gisa,"Rua Maria Ferreira da Silva, 367 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111119/bardagisa_ajoelhoutemquerezar_giovanaevilyn_unibh-3157.jpg,https://comidadibuteco.com.br/buteco/bar-da-gisa/,-19.8761261,-43.915893
Belo Horizonte,Bar da Lu,"R. Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111121/bardalu_popeyemineiro_bh_2026_rodneycosta_unibh-4185.jpg,https://comidadibuteco.com.br/buteco/bar-da-lu/,-19.8272783,-43.9640798
Belo Horizonte,Bar da Praça,"Rua Oeste, 517 | Calafate, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111222/bardapraca_cadimdenos_bh_2026_pauloti_unibh-4502.jpg,https://comidadibuteco.com.br/buteco/bar-da-praca/,-19.9234463,-43.968164699999996
Belo Horizonte,Bar da Silvânia,"R. Soares Nogueira, 801 | Camargos, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111224/bardasilvania_tesourocaipiracomencantodahorta_bh_2026_giovanaevelyn_unibh-3364.jpg,https://comidadibuteco.com.br/buteco/bar-da-silvania/,-19.9418096,-44.017877299999995
Belo Horizonte,Bar do Bartolomeu,"R. Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111226/bardobartolomeu_triomineirobaodemais_bh_2026_rodneycosta_unibh-4207.jpg,https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/,-19.9847093,-44.0114581
Belo Horizonte,Bar do Bem,"Rua Vicentina Coutinho Camargos, 100 | Álvaro Camargos, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111228/bardobem_brsileirinhoraiz_bh_2026_rodneycosta_unibh-5080.jpg,https://comidadibuteco.com.br/buteco/bar-do-bem/,-19.9149137,-44.0049204
Belo Horizonte,Bar do Dedinho  (Temporariamente fechado por motivo de Luto),"Avenida Guarapari, 872 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111229/bardodedinho_kafteivossamensagem_bh_2026_isabelaaraujo_unibh-3503.jpg,https://comidadibuteco.com.br/buteco/3121-revision-v1/,-19.8383826,-43.976923199999995
Belo Horizonte,Bar do João (São João Batista),"R. Geralda Marinho, 117 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111331/bardojoao_nabocadopovo_bh_2026_rodneycosta_unibh-4472.jpg,https://comidadibuteco.com.br/buteco/3125-revision-v1/,-19.826874699999998,-43.9647017
Belo Horizonte,Bar do Kim,"Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111333/bardokim_fraldinhasupreme_bh_2026_pauloti_unibh-4724.jpg,https://comidadibuteco.com.br/buteco/bar-do-kim/,-19.964545599999997,-43.980615
Belo Horizonte,Bar do Momô,"Avenida Coronel José Benjamim, 777 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111335/bardomomo_esferasuina_rodneycosta_unibh-3114.jpg,https://comidadibuteco.com.br/buteco/3520-revision-v1/,-19.9191069,-43.9763769
